DATE,FEDFUNDS,Inflation Rate
1966-12-01,5.4,3.359497645211932
1967-01-01,4.94,3.1994981179422823
1967-02-01,5.0,2.867830423940155
1967-03-01,4.53,2.548166563082661
1967-04-01,4.05,2.540272614622058
1967-05-01,3.94,2.31839258114374
1967-06-01,3.98,2.8412600370598966
1967-07-01,3.79,2.9275808936825753
1967-08-01,3.9,2.6033690658499276
1967-09-01,3.99,2.5954198473282486
1967-10-01,3.88,2.587519025875195
1967-11-01,4.13,3.1021897810218855
1967-12-01,4.51,3.280680437424053
1968-01-01,4.61,3.647416413373869
1968-02-01,4.71,3.636363636363645
1968-03-01,5.05,3.9393939393939306
1968-04-01,5.76,3.927492447129901
1968-05-01,6.12,4.229607250755282
1968-06-01,6.07,4.204204204204222
1968-07-01,6.03,4.491017964071856
1968-08-01,6.03,4.477611940298507
1968-09-01,5.78,4.464285714285714
1968-10-01,5.91,4.747774480712149
1968-11-01,5.82,4.424778761061947
1968-12-01,6.02,4.70588235294118
1969-01-01,6.3,4.692082111436954
1969-02-01,6.61,4.678362573099398
1969-03-01,6.79,5.24781341107873
1969-04-01,7.41,5.523255813953484
1969-05-01,8.67,5.50724637681159
1969-06-01,8.9,5.475504322766566
1969-07-01,8.61,5.444126074498564
1969-08-01,9.19,5.428571428571424
1969-09-01,9.15,5.698005698005698
1969-10-01,9.0,5.6657223796034
1969-11-01,8.85,5.932203389830513
1969-12-01,8.97,5.898876404494386
1970-01-01,8.98,6.162464985994386
1970-02-01,8.98,6.424581005586605
1970-03-01,7.76,6.0941828254847525
1970-04-01,8.1,6.060606060606069
1970-05-01,7.95,6.043956043956053
1970-06-01,7.61,6.010928961748622
1970-07-01,7.21,5.706521739130439
1970-08-01,6.62,5.69105691056911
1970-09-01,6.29,5.660377358490569
1970-10-01,6.2,5.630026809651479
1970-11-01,5.6,5.600000000000003
1970-12-01,4.9,5.570291777188313
1971-01-01,4.14,5.277044854881266
1971-02-01,3.72,4.72440944881889
1971-03-01,3.71,4.438642297650138
1971-04-01,4.16,4.155844155844159
1971-05-01,4.63,4.404145077720196
1971-06-01,4.91,4.38144329896908
1971-07-01,5.31,4.370179948586126
1971-08-01,5.57,4.358974358974367
1971-09-01,5.55,4.0816326530612095
1971-10-01,5.2,3.807106598984772
1971-11-01,4.91,3.535353535353532
1971-12-01,4.14,3.266331658291468
1972-01-01,3.51,3.2581453634085324
1972-02-01,3.3,3.7593984962406015
1972-03-01,3.83,3.499999999999996
1972-04-01,4.17,3.491271820448874
1972-05-01,4.27,3.225806451612914
1972-06-01,4.46,2.96296296296297
1972-07-01,4.55,2.955665024630531
1972-08-01,4.81,2.9484029484029377
1972-09-01,4.87,3.1862745098039325
1972-10-01,5.05,3.1784841075794725
1972-11-01,5.06,3.4146341463414602
1972-12-01,5.33,3.406326034063257
1973-01-01,5.94,3.640776699029126
1973-02-01,6.58,3.8647342995169116
1973-03-01,7.09,4.830917874396135
1973-04-01,7.12,5.301204819277115
1973-05-01,7.84,5.528846153846147
1973-06-01,8.49,5.995203836930455
1973-07-01,10.4,5.741626794258387
1973-08-01,10.5,7.398568019093083
1973-09-01,10.78,7.363420427553448
1973-10-01,10.01,8.056872037914689
1973-11-01,10.03,8.254716981132077
1973-12-01,9.95,8.941176470588228
1974-01-01,9.65,9.60187353629975
1974-02-01,8.97,9.999999999999993
1974-03-01,9.35,10.138248847926265
1974-04-01,10.51,10.06864988558352
1974-05-01,11.31,10.706150341685657
1974-06-01,11.93,10.859728506787324
1974-07-01,12.92,11.538461538461526
1974-08-01,12.01,10.888888888888886
1974-09-01,11.34,11.946902654867253
1974-10-01,10.06,11.842105263157892
